clv,Coverage,Gender,Income,Marital.Status,Monthly.Premium.Auto,Number.of.Open.Complaints,Number.of.Policies,Renew.Offer.Type,Total.Claim.Amount,Vehicle.Class
2763.519279,Basic,F,56274,Married,69,0,1,Offer1,384.811147,Two-Door Car
6979.535903,Extended,F,0,Single,94,0,8,Offer3,1131.464935,Four-Door Car
12887.43165,Premium,F,48767,Married,108,0,2,Offer1,566.472247,Two-Door Car
7645.861827,Basic,M,0,Married,106,0,7,Offer1,529.881344,SUV
2813.692575,Basic,M,43836,Single,73,0,1,Offer1,138.130879,Four-Door Car
8256.2978,Basic,F,62902,Married,69,0,2,Offer2,159.383042,Two-Door Car
5380.898636,Basic,F,55350,Married,67,0,9,Offer1,321.6,Four-Door Car
7216.100311,Premium,M,0,Single,101,0,4,Offer1,363.02968,Four-Door Car
7388.178085,Extended,F,28812,Married,93,0,8,Offer2,425.527834,Four-Door Car
4738.992022,Basic,M,0,Single,67,0,3,Offer1,482.4,Four-Door Car
8197.197078,Basic,F,0,Married,110,0,3,Offer2,528,SUV
8798.797003,Premium,M,77026,Married,110,2,3,Offer2,472.029737,Four-Door Car
8819.018934,Basic,M,99845,Married,110,1,8,Offer2,528,SUV
5384.431665,Basic,M,83689,Single,70,2,8,Offer4,307.139132,Four-Door Car
7463.139377,Basic,F,24599,Married,64,1,2,Offer2,42.920271,Four-Door Car
2566.867823,Basic,M,25049,Married,67,0,1,Offer2,454.245098,Two-Door Car
3945.241604,Basic,M,28855,Married,101,0,1,Offer3,647.442031,SUV
5710.333115,Basic,M,51148,Married,72,0,7,Offer2,308.981664,Four-Door Car
8162.617053,Premium,F,66140,Married,101,0,3,Offer1,484.8,Four-Door Car
2872.051273,Basic,M,57749,Single,74,0,1,Offer1,355.2,Two-Door Car
3041.791561,Extended,F,13789,Divorced,79,0,1,Offer4,379.2,Four-Door Car
2450.190996,Basic,F,0,Single,73,3,1,Offer1,554.376763,Four-Door Car
2392.10789,Basic,F,17870,Married,61,0,1,Offer2,439.2,Four-Door Car
5802.065978,Basic,M,97541,Married,72,0,3,Offer2,389.185006,Four-Door Car
3946.372085,Premium,F,0,Single,111,0,1,Offer1,799.2,Four-Door Car
5346.916576,Extended,F,10511,Married,139,0,1,Offer1,516.237951,SUV
12902.56014,Premium,F,86584,Single,111,2,2,Offer1,532.8,Four-Door Car
3235.360468,Extended,F,75690,Married,80,1,1,Offer2,384,Four-Door Car
2454.58354,Basic,M,23158,Married,63,1,1,Offer4,322.294043,Four-Door Car
18975.45611,Extended,M,65999,Married,237,0,6,Offer2,615.927769,Luxury SUV
4715.321344,Basic,M,0,Married,65,0,3,Offer1,308.15089,Four-Door Car
5018.885233,Basic,M,54500,Married,63,0,6,Offer1,302.4,Two-Door Car
4932.916345,Basic,F,37260,Married,62,0,8,Offer3,15.437681,Four-Door Car
5744.229745,Basic,F,68987,Married,71,0,6,Offer1,204.475147,Four-Door Car
13891.73567,Premium,M,42305,Married,117,0,2,Offer1,561.6,Four-Door Car
7380.976717,Extended,F,65706,Married,91,0,8,Offer2,436.8,Four-Door Car
3090.034104,Extended,M,0,Single,90,0,1,Offer3,648,Two-Door Car
2521.633095,Basic,M,53243,Divorced,66,2,1,Offer1,157.397849,Four-Door Car
2652.061785,Basic,F,0,Married,70,1,1,Offer3,484.318536,Two-Door Car
2771.045031,Basic,F,50071,Single,71,0,1,Offer2,18.918935,Two-Door Car
3939.00637,Extended,F,60021,Married,99,0,1,Offer2,882.871945,Four-Door Car
12231.87968,Basic,M,43244,Married,103,0,2,Offer4,494.4,Sports Car
2443.665166,Basic,M,92834,Married,61,0,1,Offer2,292.8,Four-Door Car
12819.10289,Premium,F,10105,Married,172,3,3,Offer1,0.517753,SUV
4468.510542,Basic,M,0,Single,73,3,5,Offer3,579.165954,Four-Door Car
5514.344018,Basic,F,23218,Single,71,0,4,Offer4,447.79344,Two-Door Car
3343.875326,Extended,F,0,Married,92,0,1,Offer2,529.624084,Four-Door Car
2294.478927,Basic,F,0,Married,62,0,1,Offer4,313.023175,Four-Door Car
7983.431709,Basic,F,36014,Married,69,3,2,Offer4,173.956072,Four-Door Car
4854.745666,Basic,M,29834,Single,64,0,3,Offer4,307.2,Four-Door Car
4293.997319,Premium,M,16701,Married,113,0,1,Offer1,831.625979,Four-Door Car
7164.395543,Extended,F,46623,Divorced,91,0,3,Offer3,436.8,Four-Door Car
7619.5158,Basic,M,64749,Married,64,0,2,Offer2,302.56519,Four-Door Car
3958.002823,Basic,F,0,Married,101,0,1,Offer1,484.8,SUV
